City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pizarro,CO,2022-02-04 16:06:18,4.9533,-77.366,80.24,81,25,6.11
1,Pilar,BR,2022-02-04 16:06:19,-9.5972,-35.9567,87.73,47,41,13.35
2,Rikitea,PF,2022-02-04 16:06:19,-23.1203,-134.9692,77.97,72,97,11.07
3,Upata,VE,2022-02-04 16:06:19,8.0086,-62.3989,80.19,51,85,5.79
4,Busselton,AU,2022-02-04 16:06:20,-33.65,115.3333,73.09,73,0,6.46
5,Saskylakh,RU,2022-02-04 16:06:20,71.9167,114.0833,-8.19,99,100,4.21
6,Shetpe,KZ,2022-02-04 16:06:20,44.1667,52.1167,41.99,87,100,3.96
7,Millinocket,US,2022-02-04 16:06:21,45.6573,-68.7098,14.92,79,100,11.5
8,Qaanaaq,GL,2022-02-04 16:06:21,77.484,-69.3632,-7.37,61,96,8.88
9,Huambo,AO,2022-02-04 16:06:21,-12.7761,15.7392,63.63,88,100,1.12
10,Arraial Do Cabo,BR,2022-02-04 16:06:22,-22.9661,-42.0278,82.26,74,40,17.27
11,Tuktoyaktuk,CA,2022-02-04 16:06:22,69.4541,-133.0374,-25.58,100,55,9.46
12,Lubbock,US,2022-02-04 16:05:29,33.6001,-101.8338,18.37,71,0,7.0
13,Tessalit,ML,2022-02-04 16:06:22,20.1986,1.0114,78.3,7,0,15.61
14,Leningradskiy,RU,2022-02-04 16:06:23,69.3833,178.4167,-16.94,88,3,6.38
15,Svetlaya,RU,2022-02-04 16:06:23,46.5389,138.3297,8.22,72,88,9.15
16,Mataura,NZ,2022-02-04 16:06:23,-46.1927,168.8643,48.47,99,100,1.83
17,Nabire,ID,2022-02-04 16:06:24,-3.3667,135.4833,76.26,91,97,2.15
18,Iquitos,PE,2022-02-04 16:05:09,-3.7481,-73.2472,80.64,78,75,2.3
19,Dikson,RU,2022-02-04 16:06:24,73.5069,80.5464,-2.06,89,100,5.53
20,Ushuaia,AR,2022-02-04 16:01:46,-54.8,-68.3,59.07,40,51,2.26
21,Kerema,PG,2022-02-04 16:06:25,-7.9631,145.7785,76.59,90,98,9.46
22,Puerto Ayora,EC,2022-02-04 16:06:25,-0.7393,-90.3518,78.76,87,33,5.01
23,Saldanha,ZA,2022-02-04 16:06:25,-33.0117,17.9442,65.32,65,0,25.03
24,Bathsheba,BB,2022-02-04 16:06:26,13.2167,-59.5167,77.61,78,75,16.11
25,Kirovskiy,RU,2022-02-04 16:06:26,45.0917,133.5136,-4.68,99,100,3.56
26,Araguacu,BR,2022-02-04 16:06:26,-12.9306,-49.8264,87.06,65,73,3.74
27,Chokurdakh,RU,2022-02-04 16:06:27,70.6333,147.9167,-30.46,100,55,1.3
28,Talnakh,RU,2022-02-04 16:06:27,69.4865,88.3972,-4.97,96,99,7.94
29,Yellowknife,CA,2022-02-04 16:06:27,62.456,-114.3525,-35.72,75,20,8.05
30,Yumen,CN,2022-02-04 16:06:28,40.2833,97.2,17.35,41,100,14.76
31,Guerrero Negro,MX,2022-02-04 16:03:39,27.9769,-114.0611,54.1,35,0,0.72
32,Bengkulu,ID,2022-02-04 16:06:28,-3.8004,102.2655,73.89,97,100,7.27
33,The Valley,AI,2022-02-04 16:06:28,18.217,-63.0578,78.94,69,75,19.57
34,Kabalo,CD,2022-02-04 16:06:29,-6.05,26.9167,71.28,90,100,2.82
35,Kushmurun,KZ,2022-02-04 16:06:29,52.4503,64.6311,20.32,77,100,10.74
36,Cape Town,ZA,2022-02-04 16:05:02,-33.9258,18.4232,78.12,47,1,8.01
37,Saint Anthony,US,2022-02-04 16:06:30,45.0205,-93.218,6.12,75,75,1.99
38,Geraldton,AU,2022-02-04 16:06:30,-28.7667,114.6,72.01,49,0,2.3
39,Bredasdorp,ZA,2022-02-04 16:06:30,-34.5322,20.0403,70.29,48,40,15.5
40,Sakakah,SA,2022-02-04 16:06:31,29.9697,40.2064,54.18,38,35,6.96
41,Lungi,SL,2022-02-04 16:06:31,9.2212,-12.6831,100.35,8,0,3.71
42,Barrow,US,2022-02-04 16:06:16,71.2906,-156.7887,-29.18,68,0,6.91
43,Lebu,CL,2022-02-04 16:06:31,-37.6167,-73.65,64.76,77,12,15.28
44,Pisco,PE,2022-02-04 16:05:06,-13.7,-76.2167,75.02,73,0,8.05
45,Butaritari,KI,2022-02-04 16:06:32,3.0707,172.7902,82.02,75,11,17.0
46,Mabaruma,GY,2022-02-04 16:06:32,8.2,-59.7833,87.28,45,37,6.55
47,Erzin,TR,2022-02-04 16:07:33,36.9559,36.2,48.72,89,87,2.1
48,Castro,BR,2022-02-04 16:07:33,-24.7911,-50.0119,66.83,96,100,8.55
49,Longyearbyen,SJ,2022-02-04 16:07:33,78.2186,15.6401,17.44,67,0,21.85
50,Haines Junction,CA,2022-02-04 16:07:33,60.7522,-137.5108,-0.98,99,100,1.88
