City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Vilhena,BR,71.82,broken clouds,-12.7406,-60.1458,Hotel Mirage
332,Mayumba,GA,76.42,broken clouds,-3.432,10.6554,LIKWALE LODGE
333,Ancud,CL,64.22,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
334,Praia,CV,72.14,clear sky,14.9215,-23.5087,LT Aparthotel
337,Lakatoro,VU,80.42,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
338,Ialibu,PG,64.27,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
342,Kavieng,PG,83.19,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
345,Soyo,AO,77.92,broken clouds,-6.1349,12.3689,Hotel Mpampa
346,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
347,Roebourne,AU,85.95,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
349,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
351,Kokoda,PG,86.32,overcast clouds,-8.8785,147.7407,Daito Guest House
352,Ewo,CG,74.35,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
354,Kabare,CD,60.33,light rain,-2.4683,28.8242,Hôtel Panorama
355,Lichinga,MZ,64.49,broken clouds,-13.3128,35.2406,Residencial Bendiak
