City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Avarua,CK,2022-02-04 22:27:47,-21.2078,-159.775,84.25,70,20,17.27,few clouds
60,Kavaratti,IN,2022-02-04 22:23:58,10.5669,72.642,78.12,60,98,6.11,overcast clouds
61,Butaritari,KI,2022-02-04 22:23:06,3.0707,172.7902,82.51,75,19,19.28,light rain
62,Fortuna,US,2022-02-04 22:24:23,40.5982,-124.1573,61.41,78,0,1.99,clear sky
63,College,US,2022-02-04 22:25:05,64.8569,-147.8028,5.58,61,75,0.0,broken clouds
64,Thompson,CA,2022-02-04 22:19:00,55.7435,-97.8558,-9.24,59,20,8.05,few clouds
65,Hobart,AU,2022-02-04 22:20:20,-42.8794,147.3294,64.26,83,75,8.05,broken clouds
66,Sao Jose Da Coroa Grande,BR,2022-02-04 22:27:48,-8.8978,-35.1478,79.63,69,26,9.55,scattered clouds
67,Kapaa,US,2022-02-04 22:20:27,22.0752,-159.319,80.11,71,0,1.99,clear sky
68,Salekhard,RU,2022-02-04 22:24:14,66.53,66.6019,4.28,97,100,1.95,overcast clouds
69,Arraial Do Cabo,BR,2022-02-04 22:27:48,-22.9661,-42.0278,76.96,94,40,11.5,scattered clouds
70,Saint-Philippe,RE,2022-02-04 22:27:48,-21.3585,55.7679,80.15,86,100,25.61,moderate rain
71,Altay,CN,2022-02-04 22:27:49,47.8667,88.1167,6.3,54,0,8.9,clear sky
72,Mataura,NZ,2022-02-04 22:23:35,-46.1927,168.8643,56.48,68,93,2.68,overcast clouds
73,Flinders,AU,2022-02-04 22:20:20,-34.5833,150.8552,70.38,72,92,11.01,overcast clouds
74,Castro,BR,2022-02-04 22:27:49,-24.7911,-50.0119,67.59,94,99,6.42,overcast clouds
75,Belaya Gora,RU,2022-02-04 22:24:50,68.5333,146.4167,-39.35,100,48,1.03,scattered clouds
76,Gracac,HR,2022-02-04 22:27:50,44.3006,15.8547,43.38,87,95,2.82,overcast clouds
77,Leningradskiy,RU,2022-02-04 22:27:50,69.3833,178.4167,-14.21,89,45,9.48,scattered clouds
78,Shetpe,KZ,2022-02-04 22:27:50,44.1667,52.1167,37.76,94,99,6.11,overcast clouds
79,Fort Nelson,CA,2022-02-04 22:27:51,58.8053,-122.7002,-11.61,77,100,2.3,light snow
80,Mangla,PK,2022-02-04 22:27:51,31.8931,72.3817,46.51,73,0,5.66,clear sky
81,Tiznit,MA,2022-02-04 22:24:47,29.5833,-9.5,63.28,37,99,3.31,overcast clouds
82,Hasaki,JP,2022-02-04 22:27:52,35.7333,140.8333,34.2,35,55,26.71,broken clouds
83,Chuy,UY,2022-02-04 22:27:52,-33.6971,-53.4616,73.67,87,15,8.57,few clouds
84,Tasiilaq,GL,2022-02-04 22:23:14,65.6145,-37.6368,24.96,68,100,38.79,overcast clouds
85,Progreso,MX,2022-02-04 22:27:52,21.2833,-89.6667,84.31,76,1,12.46,clear sky
86,Lebu,CL,2022-02-04 22:27:53,-37.6167,-73.65,61.5,79,1,18.21,clear sky
87,Denpasar,ID,2022-02-04 22:27:53,-8.65,115.2167,80.26,83,40,16.11,scattered clouds
88,Port Elizabeth,ZA,2022-02-04 22:27:53,-33.918,25.5701,66.49,77,75,2.3,broken clouds
89,Qaanaaq,GL,2022-02-04 22:27:54,77.484,-69.3632,-2.02,69,100,8.01,overcast clouds
90,Karratha,AU,2022-02-04 22:27:54,-20.7377,116.8463,84.04,69,98,9.08,overcast clouds
91,Iqaluit,CA,2022-02-04 22:28:54,63.7506,-68.5145,-16.87,52,75,4.61,broken clouds
92,Puerto Ayora,EC,2022-02-04 22:28:55,-0.7393,-90.3518,82.36,88,82,5.99,broken clouds
93,Nouadhibou,MR,2022-02-04 22:26:32,20.931,-17.0347,69.78,52,1,11.5,clear sky
94,Souillac,MU,2022-02-04 22:28:55,-20.5167,57.5167,79.36,89,75,16.11,light rain
95,Fare,PF,2022-02-04 22:28:56,-16.7,-151.0167,80.44,75,61,14.36,broken clouds
96,Cape Town,ZA,2022-02-04 22:27:48,-33.9258,18.4232,65.88,64,0,3.0,clear sky
97,Ermioni,GR,2022-02-04 22:28:56,37.3869,23.2442,41.94,62,2,1.34,clear sky
98,Chokurdakh,RU,2022-02-04 22:28:56,70.6333,147.9167,-31.23,100,51,2.39,broken clouds
99,Champerico,GT,2022-02-04 22:28:57,14.3,-91.9167,93.74,59,6,13.58,clear sky
100,Wick,GB,2022-02-04 22:28:57,58.4333,-3.0833,37.15,93,40,19.57,scattered clouds
101,Pasighat,IN,2022-02-04 22:28:57,28.0667,95.3333,55.98,92,100,5.84,light rain
102,Huarmey,PE,2022-02-04 22:28:58,-10.0681,-78.1522,74.77,74,13,11.23,few clouds
103,Neiafu,TO,2022-02-04 22:28:58,-18.65,-173.9833,80.55,80,100,21.27,light rain
104,Esperance,AU,2022-02-04 22:28:54,-33.8667,121.9,62.44,77,1,14.0,clear sky
105,East London,ZA,2022-02-04 22:28:56,-33.0153,27.9116,68.83,84,100,8.1,light rain
106,Margate,GB,2022-02-04 22:28:59,51.3813,1.3862,41.88,74,39,3.0,scattered clouds
107,Faanui,PF,2022-02-04 22:20:19,-16.4833,-151.75,80.62,75,26,14.32,scattered clouds
108,Tautira,PF,2022-02-04 22:28:59,-17.7333,-149.15,82.42,77,20,16.26,light rain
109,Whitianga,NZ,2022-02-04 22:29:00,-36.8333,175.7,79.02,75,42,10.27,scattered clouds
110,Yellowknife,CA,2022-02-04 22:27:59,62.456,-114.3525,-22.72,75,40,3.44,scattered clouds
111,Havoysund,NO,2022-02-04 22:29:00,70.9963,24.6622,16.68,87,100,35.41,light snow
112,Lorengau,PG,2022-02-04 22:29:01,-2.0226,147.2712,82.09,70,83,6.2,broken clouds
113,Lewistown,US,2022-02-04 22:29:01,40.5992,-77.5714,31.93,100,100,0.0,light intensity drizzle
114,Selikhino,RU,2022-02-04 22:29:01,50.3672,137.4996,-2.33,98,100,4.79,overcast clouds
115,Bathsheba,BB,2022-02-04 22:29:01,13.2167,-59.5167,79.41,69,40,12.66,scattered clouds
116,Zverinogolovskoye,RU,2022-02-04 22:29:02,54.4586,64.8542,21.16,78,100,12.24,overcast clouds
117,Garnic,RO,2022-02-04 22:29:02,44.7864,21.7944,38.62,71,8,2.28,clear sky
118,Shrewsbury,GB,2022-02-04 22:29:03,52.7101,-2.7521,40.68,81,40,13.8,scattered clouds
119,Yar-Sale,RU,2022-02-04 22:25:08,66.8333,70.8333,5.79,96,100,5.53,overcast clouds
120,Georgetown,MY,2022-02-04 22:27:49,5.4112,100.3354,78.89,92,40,2.3,scattered clouds
